LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
"4050057901","4050022900","4050022901","3","107","000","-",연북로,"0","0","000","70","0","0","0",698.39060000000,
"4050057902","4050022901","4050004800","3","107","000","-",연북로,"0","0","000","70","0","0","0",421.42860000000,
"4050058001","4050004800","4050022901","3","107","000","-",연북로,"0","0","000","70","0","0","0",422.02700000000,
"4050058002","4050022901","4050022900","3","107","000","-",연북로,"0","0","000","70","0","0","0",698.57680000000,
"4050058101","4050023000","4050023003","3","107","000","-",연북로,"0","0","000","70","0","0","0",634.98790000000,
"4050058103","4050023003","4050023004","3","107","000","-",연북로,"0","0","000","70","0","0","0",102.39080000000,
"4050058104","4050023004","4050030200","3","107","000","-",연북로,"0","0","000","70","0","0","0",62.60320000000,
"4050058202","4050023003","4050023000","3","107","000","-",연북로,"0","0","000","70","0","0","0",631.23990000000,
"4050058203","4050030200","4050023004","3","107","000","-",연북로,"0","0","000","70","0","0","0",62.68240000000,
"4050058204","4050023004","4050023003","3","107","000","-",연북로,"0","0","000","70","0","0","0",102.39080000000,
"4050058302","4050023001","4050039900","1","107","000","-",원남6길,"0","0","000","40","0","0","0",102.46330000000,
"4050058303","4050023000","4050023002","1","107","000","-",원남6길,"0","0","000","40","0","0","0",650.41430000000,
"4050058304","4050023002","4050023001","1","107","000","-",원남6길,"0","0","000","40","0","0","0",236.22910000000,
"4050062300","4050024000","4050026700","2","107","000","-",광평동로,"0","0","000","60","0","0","0",220.62840000000,
"4050058401","4050039900","4050023001","1","107","000","-",원남6길,"0","0","000","40","0","0","0",103.29120000000,
"4050058403","4050023001","4050023002","1","107","000","-",원남6길,"0","0","000","40","0","0","0",235.42270000000,
"4050058404","4050023002","4050023000","1","107","000","-",원남6길,"0","0","000","40","0","0","0",651.35460000000,
"4050058500","4050023100","4050023700","2","107","000","-",우평로,"0","0","000","50","0","0","0",132.93090000000,
"4050058600","4050023700","4050023100","2","107","000","-",우평로,"0","0","000","50","0","0","0",132.68510000000,
"4050058700","4050023100","4050009600","1","107","000","-",대통길,"0","0","000","50","0","0","0",1409.70590000000,
