NODE_ID,NODE_TYPE,NODE_NAME,lat,long,NODE_ID_OLD
3371,101,동일1리마을회관,33.228,126.244,4060094400.0
3372,101,인향동입구,33.276,126.244,4060094500.0
3373,101,동일리640-1,33.259,126.244,4060094600.0
3374,101,무릉2리사거리,33.273,126.245,4060094700.0
3375,101,동일교차로,33.231,126.246,4060094800.0
3376,101,농공단지입구,33.272,126.245,4060094900.0
3377,101,신평리산45,33.273,126.246,4060095000.0
3378,101,동성더유관리사무소,33.226,126.247,4060095100.0
3379,101,SK주유소,33.223,126.248,4060095200.0
3380,101,동일리앞교차로,33.24,126.248,4060095300.0
3381,101,모슬포제일교회,33.221,126.249,4060095400.0
3382,101,돈방석수산,33.217,126.25,4060095500.0
3383,101,하모리1071-8,33.221,126.25,4060095600.0
3384,101,하모리1288-7,33.229,126.25,4060095700.0
3385,101,하모리1234-2,33.226,126.25,4060095800.0
3386,101,재영수산,33.218,126.25,4060095900.0
3387,101,해리수산,33.218,126.25,4060096000.0
3388,101,남경수산,33.218,126.25,4060096100.0
3389,101,하모리1306-6,33.229,126.251,4060096200.0
3390,101,남경수산,33.218,126.251,4060096300.0
3391,101,남경수산,33.217,126.251,4060096400.0
3392,101,아크로뷰호텔,33.217,126.251,4060096500.0
3393,101,젬마수산,33.219,126.252,4060096600.0
3394,101,재클린커피,33.218,126.252,4060096700.0
3395,101,해수스파호텔코자,33.217,126.252,4060096800.0
3396,101,해담은레지던스호텔,33.216,126.252,4060096900.0
3397,101,하모리교차로,33.221,126.252,4060097000.0
3398,101,금화다방,33.222,126.252,4060097100.0
3399,101,홍마트모슬포점앞,33.219,126.252,4060097200.0
3400,101,하모리928-4,33.222,126.252,4060097300.0
3401,101,재클린커피,33.218,126.252,4060097400.0
3402,101,하모수산직매장,33.217,126.252,4060097500.0
3403,101,대승사,33.216,126.252,4060097600.0
3404,101,하모2리사무소,33.224,126.252,4060097700.0
3405,101,제주삼다,33.216,126.252,4060097800.0
3406,102,재클린커피,33.218,126.253,4060097900.0
3407,101,서귀포시서부보건소,33.219,126.253,4060098000.0
3408,101,이화예식장,33.226,126.253,4060098100.0
3409,102,서귀포시서부보건소,33.218,126.253,4060098200.0
3410,103,속성변화점,33.292,126.252,4060098300.0
3411,103,속성변화점,33.226,126.253,4060098400.0
3412,101,제주삼다,33.216,126.253,4060098500.0
3413,101,대정여고앞교차로,33.228,126.253,4060098600.0
3414,101,SH써니호텔,33.221,126.253,4060098700.0
3415,102,서귀포시서부보건소앞,33.219,126.253,4060098800.0
3416,101,대정중학교,33.219,126.253,4060098900.0
3417,102,대정여고앞교차로,33.229,126.253,4060099000.0
3418,101,하모2리다목적센터,33.22,126.253,4060099100.0
3419,102,서귀포시서부보건소,33.219,126.253,4060099200.0
3420,101,바리스타손설웅,33.221,126.254,4060099300.0
3421,101,대정농협,33.222,126.254,4060099400.0
3422,101,자비원,33.212,126.255,4060099500.0
3423,101,상모리4165,33.224,126.255,4060099600.0
3424,101,인호모터스,33.22,126.257,4060099700.0
3425,103,속성변화점,33.225,126.257,4060099800.0
3426,101,하모1리복지회관,33.211,126.257,4060099900.0
3427,101,카페제이라움,33.226,126.257,4060100000.0
3428,101,무릉리3-3,33.294,126.257,4060100100.0
3429,103,속성변화점,33.266,126.257,4060100200.0
3430,101,하모리435-2,33.219,126.258,4060100300.0
