LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK
"4060494800","4060159200","4060159000","1","107","000","-",성읍정의현로136번길,"0","0","000","30","0","0","0",41.37350000000,
"4060494900","4060159000","4060158800","1","107","000","-",성읍정의현로,"0","0","000","50","0","0","0",68.26500000000,
"4060495000","4060158800","4060159000","1","107","000","-",성읍정의현로,"0","0","000","50","0","0","0",68.26520000000,
"4060495100","4060176300","4060177200","2","106","000","1132",일주동로,"0","0","000","70","0","0","0",1615.93840000000,
"4060495200","4060177200","4060176300","2","106","000","1132",일주동로,"0","0","000","70","0","0","0",1615.09720000000,
"4060495300","4060159700","4060159900","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",17.22390000000,
"4060495400","4060159900","4060159700","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",17.22380000000,
"4060495500","4060159700","4060160000","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",53.38790000000,
"4060495600","4060160000","4060159700","1","107","000","-",성읍정의현로122번길,"0","0","000","30","0","0","0",72.88540000000,
"4060495700","4060159200","4060159700","1","107","000","-",성읍정의현로122번길,"0","0","000","50","0","0","0",60.41360000000,
"4060495800","4060159700","4060159200","1","107","000","-",성읍정의현로122번길,"0","0","000","50","0","0","0",59.78200000000,
"4060495900","4060159200","4060159300","1","107","000","-",성읍정의현로136번길,"0","0","000","30","0","0","0",34.79530000000,
"4060496000","4060159300","4060159200","1","107","000","-",성읍정의현로136번길,"0","0","000","30","0","0","0",34.79530000000,
"4060496100","4060158800","4060157900","1","107","000","-",성읍민속로,"0","0","000","60","0","0","0",715.10640000000,
"4060496200","4060157900","4060158800","1","107","000","-",성읍민속로,"0","0","000","60","0","0","0",723.50880000000,
"4060496300","4060159200","4060159100","1","107","000","-",성읍정의현로136번길,"0","0","000","30","0","0","0",132.45420000000,
