CS_ID,CS_NAME,lat,long,real_lat,real_long
3184,안덕생활체육관,33.256,126.328,33.2558062,126.3283213
3562,청소년 문화의 집,33.249,126.337,33.2495585,126.3371369
3010,서귀포교육지원청,33.271,126.59,33.2705664,126.5892146
3062,영실매표소,33.339,126.485,33.34010219,126.4805139
2697,제주국제평화센터,33.244,126.422,33.2443989,126.4218997
3857,가시리 조랑말체험공원,33.358,126.736,33.38309728,126.7362849
4021,표선해양경비단,33.353,126.824,33.3565925,126.8219062
2190,새마을금고제주연수원,33.413,126.396,33.4135888,126.3946902
1632,제주 경찰교육 센터,33.445,126.566,33.4411629,126.5653998
1882,생각하는정원,33.327,126.253,33.325988,126.2552095
641,제주수산연구소,33.493,126.428,33.4938538,126.4290032
764,아트리움공연장,33.466,126.455,33.4649309,126.4553144
499,김영갑갤러리,33.374,126.847,33.3720645,126.8541795
3581,토이파크,33.32,126.349,33.3190856,126.3457347
3494,마라도 가는 여객선,33.208,126.291,33.207412,126.2905823
3575,건강과 성박물관,33.254,126.341,33.2546582,126.3467011
3579,서커스월드공연장,33.312,126.346,33.3144112,126.3449392
2488,신재생에너지홍보관,33.557,126.819,33.559415,126.8187356
1176,제주시농협 하나로마트,33.504,126.551,33.5029625,126.553699
602,롯데하이마트 신제주점,33.487,126.481,33.4865713,126.4812285
947,제주시농협 하나로유통센터,33.488,126.469,33.4877055,126.4680465
564,넥슨박물관,33.473,126.484,33.4720996,126.485864
913,현대블루핸즈 노형북부점,33.486,126.466,33.4854792,126.4655444
1201,아모렉스리조트,33.506,126.466,33.5074916,126.4702754
1341,탑동2공영주차장,33.518,126.52,33.5182983,126.5198951
756,제주대학교,33.46,126.563,33.4572368,126.5642957
1624,제주대학교,33.469,126.546,33.4670429,126.5457558
1448,애월농협,33.461,126.322,33.460321,126.3215331
274,하귀농협 복지센터,33.481,126.4,33.48130641,126.4003734
41,하귀농협 장례식장,33.473,126.425,33.4730618,126.4265546
649,롯데리아 제주외도 DT,33.493,126.431,33.49322448,126.4307653
632,형제자동차공업사(1급),33.492,126.423,33.4916997,126.4236567
1344,토끼와거북이,33.517,126.502,33.5188204,126.4921734
1525,제주정부종합청사,33.49,126.526,33.490454,126.5253079
717,조천농협 농산물산지유통센터,33.513,126.554,33.5129246,126.5529036
